SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
D915_00024	kinase domain	282	5	0	95.4	6	F:GO:0005524; F:GO:0046872; P:GO:0006468; C:GO:0005622; P:GO:0035556; F:GO:0004697	F:ATP binding; F:metal ion binding; P:protein phosphorylation; C:intracellular; P:intracellular signal transduction; F:protein kinase C activity	EC:2.7.11; EC:2.7.11.13	Transferring phosphorus-containing groups; Protein kinase C	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PIRSF000654 (PIRSF); PTHR24356 (PANTHER); PTHR24356:SF240 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_14620	Ribosomal S6 kinase beta-2	375	5	0	91.4	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); PIRSF000654 (PIRSF); mobidb-lite (MOBIDB_LITE); PTHR24351:SF166 (PANTHER); PTHR24351 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_07082	kinase A catalytic subunit	345	5	0	96	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000961 (SMART); G3DSA:3.30.200.20 (GENE3D); PIRSF000654 (PIRSF); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24353 (PANTHER); PTHR24353:SF116 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR000961 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468; F:GO:0004674	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_14779	kinase domain	220	5	9.93E-165	98.2	4	F:GO:0005524; F:GO:0004703; P:GO:0007165; P:GO:0006468	F:ATP binding; F:G-protein coupled receptor kinase activity; P:signal transduction; P:protein phosphorylation	EC:2.7.11; EC:2.7.11.16	Transferring phosphorus-containing groups; [G-protein-coupled receptor] kinase	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); PIRSF000654 (PIRSF); PTHR24355 (PANTHER); PTHR24355:SF22 (PANTHER); IPR000961 (PROSITE_PROFILES); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468; F:GO:0004674	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_08442	serine threonine kinase	425	5	0	89.6	6	F:GO:0005524; F:GO:0046872; F:GO:0004674; P:GO:0006468; C:GO:0005622; P:GO:0035556	F:ATP binding; F:metal ion binding; F:protein serine/threonine kinase activity; P:protein phosphorylation; C:intracellular; P:intracellular signal transduction	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR22988 (PANTHER); PTHR22988:SF40 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_04663	kinase domain	504	5	0	80	3	F:GO:0000166; F:GO:0004672; P:GO:0016310	F:nucleotide binding; F:protein kinase activity; P:phosphorylation			IPR000719 (SMART); IPR011993 (G3DSA:2.30.29.GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); IPR033931 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24356:SF163 (PANTHER); PTHR24356 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR033931 (CDD); cd05581 (CDD); IPR011009 (SUPERFAMILY); IPR011993 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_02272	SNF-related serine threonine- kinase	1486	5	0	73	8	F:GO:0000166; F:GO:0005524; C:GO:0016020; C:GO:0016021; F:GO:0004672; P:GO:0016310; P:GO:0006468; F:GO:0016301	F:nucleotide binding; F:ATP binding; C:membrane; C:integral component of membrane; F:protein kinase activity; P:phosphorylation; P:protein phosphorylation; F:kinase activity			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); G3DSA:1.10.8.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24343:SF321 (PANTHER); PTHR24343 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14074 (CDD); cd14339 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_07262	kinase domain	272	5	0	92	6	F:GO:0004689; C:GO:0005964; F:GO:0005524; F:GO:0005516; P:GO:0005978; P:GO:0006468	F:phosphorylase kinase activity; C:phosphorylase kinase complex; F:ATP binding; F:calmodulin binding; P:glycogen biosynthetic process; P:protein phosphorylation	EC:2.7.11; EC:2.7.11.19; EC:2.7.11.17	Transferring phosphorus-containing groups; Phosphorylase kinase; Calcium/calmodulin-dependent protein kinase	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); PIRSF000654 (PIRSF); IPR000719 (PFAM); PTHR44087 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_00254	kinase domain	214	5	9.59E-145	95.6	3	F:GO:0005524; F:GO:0004691; P:GO:0006468	F:ATP binding; F:cAMP-dependent protein kinase activity; P:protein phosphorylation	EC:2.7.11; EC:2.7.11.11	Transferring phosphorus-containing groups; cAMP-dependent protein kinase	IPR000961 (SMART); IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24353:SF109 (PANTHER); PTHR24353 (PANTHER); IPR000961 (PROSITE_PROFILES); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468; F:GO:0004674	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_07371	serine threonine kinase	262	5	0	83	7	F:GO:0000287; C:GO:0005634; F:GO:0005524; C:GO:0005737; F:GO:0004674; P:GO:0006468; P:GO:0035556	F:magnesium ion binding; C:nucleus; F:ATP binding; C:cytoplasm; F:protein serine/threonine kinase activity; P:protein phosphorylation; P:intracellular signal transduction	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); PIRSF000654 (PIRSF); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR24349 (PANTHER); PTHR24349:SF64 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_02277	kinase domain	264	5	0	88.6	5	F:GO:0005524; F:GO:0004674; P:GO:0018105; C:GO:0005622; P:GO:0035556	F:ATP binding; F:protein serine/threonine kinase activity; P:peptidyl-serine phosphorylation; C:intracellular; P:intracellular signal transduction	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000961 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PTHR24356 (PANTHER); PTHR24356:SF176 (PANTHER); IPR000961 (PROSITE_PROFILES); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468; F:GO:0004674	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_02759	Rho-associated kinase	267	5	0	93.2	6	F:GO:0005524; F:GO:0046872; F:GO:0004674; P:GO:0006468; C:GO:0005622; P:GO:0035556	F:ATP binding; F:metal ion binding; F:protein serine/threonine kinase activity; P:protein phosphorylation; C:intracellular; P:intracellular signal transduction	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); PTHR22988 (PANTHER); IPR029875 (PTHR22988:PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468; F:GO:0004674	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity
