S_haematobium_identifier  Kinase_group
ShAkt  AGC
A_05127  AGC
Sh_Smp_158560.1  AGC
Sh_Smp_158560.2  AGC
A_06862  AGC
Sh_Smp_139800.1  AGC
A_03419  AGC
A_05067  AGC
A_07296  AGC
A_07453  AGC
A_03671  AGC
A_07489  AGC
Sh_Smp_174820.1  AGC
A_00686  AGC
A_02637  AGC
A_08201  AGC
A_06757  AGC
A_00054  AGC
A_06839  AGC
Sh_Smp_147450.1  AGC
Sh_Smp_164380.1  AGC
Sh_Smp_194610.1  AGC
ShPKA-C  AGC
A_03335  AGC
Sh_Smp_176360.1  AGC
ShPKC1  AGC
A_03938  AGC
A_01385  AGC
A_04176  AGC
A_04962  AGC
A_07465  AGC
Sh_Smp_168670.1  AGC
A_06155  AGC
A_00632  AGC
Sh_Smp_179070.1  AGC
Sh_Smp_213390.1  AGC
A_01172  AGC
A_08120  AGC
A_04452  AGC
A_06142  CAMK
Sh_Smp_065290.1  CAMK
A_02882  CAMK
A_05571.1  CAMK
A_05571.2  CAMK
A_05571.3  CAMK
Sh_Smp_153170.1  CAMK
Sh_Smp_214100.1  CAMK
A_02313.1  CAMK
A_02313.3  CAMK
A_03539  CAMK
A_05808  CAMK
A_01020  CAMK
A_04507  CAMK
A_05640  CAMK
A_05640.5  CAMK
A_06483  CAMK
Sh_Smp_014170.2  CAMK
Sh_Smp_162010.1  CAMK
Sh_Smp_194640.1  CAMK
Sh_Smp_166150.1  CAMK
A_01305  CAMK
Sh_Smp_094190.1  CAMK
Sh_Smp_127060.1  CAMK
A_01994  CAMK
A_04401  CAMK
A_05021  CAMK
m.10311_trans  CAMK
A_07448  CAMK
A_02857  CAMK
Sh_Smp_018290.1  CAMK
A_02927  CAMK
A_04673  CAMK
A_00500  CAMK
A_00927  CAMK
A_01294  CAMK
A_04622  CAMK
A_06685  CAMK
A_07692  CAMK
A_05883  CAMK
A_03674  CAMK
A_05711  CK1
A_06194  CK1
Sh_Smp_194270.1  CK1
A_08312.1  CK1
B_00304  CK1
A_01917  CK1
A_02477  CK1
Sh_Smp_133420.1  CK1
Sh_Smp_141380.1  CK1
A_04504  CMGC
Sh_Smp_103950.1  CMGC
A_04207  CMGC
m.39132_trans  CMGC
A_06204  CMGC
Sh_Smp_150040.1  CMGC
B_00050  CMGC
Sh_Smp_003000.1  CMGC
Sh_Smp_094760.1  CMGC
A_03029  CMGC
A_01577  CMGC
Sh_Smp_041820.1  CMGC
A_03311  CMGC
A_00367  CMGC
A_04807  CMGC
A_05855  CMGC
Sh_Smp_137370.1  CMGC
A_01619  CMGC
A_03407  CMGC
Sh_Smp_124130.1  CMGC
Sh_Smp_163380.1  CMGC
Sh_Smp_099030.1  CMGC
A_04366  CMGC
A_06806  CMGC
B_00548  CMGC
Sh_Smp_125270.1  CMGC
Sh_Smp_206070.1  CMGC
A_01295  CMGC
A_02259  CMGC
A_07508  CMGC
A_07713  CMGC
Sh_Smp_130250.1  CMGC
A_05344  CMGC
A_05780.1  CMGC
A_05780.3  CMGC
A_02724  CMGC
A_03078  CMGC
A_04108.1  CMGC
Sh_Smp_125310.1  CMGC
A_03468  CMGC
Sh_Smp_142050.1  CMGC
A_01970  CMGC
Sh_Smp_133490.1  CMGC
Sh_Smp_134260.1  CMGC
Sh_Smp_198810.1  CMGC
A_05624  CMGC
A_01439  CMGC
A_04362  CMGC
A_00852  CMGC
Sh_Smp_210970.1  CMGC
A_07468.1  CMGC
A_04107  Other
Sh_Smp_162710.1  Other
A_04555  Other
A_00604  Other
A_07473  Other
Sh_Smp_158950.1  Other
A_01841  Other
A_01951  Other
A_03296  Other
A_03979  Other
A_04495  Other
A_04409  Other
A_00538  Other
Sh_Smp_166540.1  Other
Sh_Smp_176970.1  Other
Sh_Smp_177920.1  Other
A_05411  Other
Sh_Smp_131630.1  Other
Sh_Smp_046140.1  Other
A_00551  Other
A_03220  Other
A_03506  Other
Sh_Smp_060940.1  Other
ShPlk1  Other
ShSak  Other
A_01858  Other
A_03830  Other
A_07345  Other
Sh_Smp_156890.1  Other
Sh_Smp_199360.1  Other
A_00059  Other
A_02564  Other
Sh_Smp_171610.1  Other
Sh_Smp_132260.1  Other
A_03815  Other
m.26886_trans  Other
Sh_Smp_153870.1  Other
Sh_Smp_123610.1  Other
Sh_Smp_167940.1  Other
Sh_Smp_154440.1  Other
A_02560  PKL
A_01324  PKL
A_06019  PKL
A_01816  PKL
A_01830  RGC
A_02682  RGC
A_06688  RGC
A_06810  STE
A_02270  STE
A_07737  STE
A_01860  STE
Sh_Smp_212600.1  STE
A_00496  STE
Sh_Smp_163420.1  STE
Sh_Smp_163420.2  STE
A_06924  STE
Sh_Smp_094090.1  STE
A_00646  STE
A_05309  STE
A_05803  STE
A_07371  STE
Sh_Smp_064040.1  STE
A_06570  STE
ShSLK  STE
A_03298  STE
A_06372  STE
Sh_Smp_096640.1  STE
A_00164  STE
m.20054_trans  STE
A_05163  STE
A_03563  STE
Sh_Smp_031940.1  STE
A_07478  STE
A_04152  STE
ShAbl1  TK
ShAbl2  TK
A_00707  TK
A_05245.2  TK
A_04829  TK
A_06574  TK
A_03498  TK
A_03762  TK
ShSER  TK
A_03222.2  TK
A_03569  TK
ShFES  TK
ShFGFR-A  TK
ShFGFR-B  TK
ShIR-1  TK
A_06161.1  TK
A_00136.1  TK
A_04606  TK
A_07389  TK
A_01602  TK
ShTK4  TK
Sh_Smp_124850.1  TK
A_00880  TK
ShRTK  TK
ShVKR2  TK
ShIR-2  TK 
Sh_Smp_128550.1  TK 
Sh_Smp_172200.1  TK 
ShTK3  TK 
ShTK5  TK 
ShTK6  TK 
A_02741  TKL
Sh_Smp_047870.1  TKL
Sh_Smp_128670.1  TKL
Sh_Smp_143400.1  TKL
m.2714_trans.1  TKL
m.2714_trans.2  TKL
A_00239  TKL
A_05726  TKL
A_08293  TKL
A_05625  TKL
m.7281_trans  TKL
m.56516_trans  TKL
Sh_Smp_125060.1  TKL
A_01143  TKL
B_00871  TKL
ShTbRI  TKL
ShRK2  TKL
ShRK2a  TKL
ShTbRII  TKL
B_00828  TKL
A_05753  Unclassified
A_08069  Unclassified
C_01296  Unclassified
Sh_Smp_017900.1  Unclassified
